"tel","fax","fiokKod","megjegyzes","openingHours__001","openingHours__002","openingHours__003","openingHours__004","openingHours__005","openingHours__006","openingHours__007","specialServices__001","specialServices__002","specialServices__003","specialServices__004","address","type","baliInfo__terheltseg","baliInfo__szoveg","baliInfo__fiokKod","servicesCorp__001","servicesCorp__002","servicesCorp__003","servicesCorp__004","servicesCorp__005","servicesCorp__006","servicesCorp__007","servicesCorp__008","servicesCorp__009","servicesCorp__010","servicesCorp__011","servicesCorp__012","servicesCorp__013","servicesPub__001","servicesPub__002","servicesPub__003","servicesPub__004","servicesPub__005","servicesPub__006","servicesPub__007","servicesPub__008","servicesPub__009","servicesPub__010","servicesPub__011","servicesPub__012","servicesPub__013","servicesPub__014","servicesPub__015","servicesPub__016","zipCode","town","lat","lng"
"(1) 3666-388","(1) 488-7330","0100","Forgalmazott valuták: EUR HRK USD ","7:45 - 17:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","7:45 - 15:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Alagút utca 3.  ","FIOK","null","null","0100","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","Közép- és nagyvállalatok számlavezetése, bankkártyák","Társasházi és lakásszövetkezeti szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Vámpénztári szolgáltatás","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","1013","Budapest","47.497014","19.033501"
"(1) 3666-388","(1) 298-3104","0809","ATM csak nyitva tartási idő alatt; Forgalmazott valuták: EUR USD ","8:45 - 12:30, 13:00 - 17:00","8:45 - 12:30, 13:00 - 16:00","8:45 - 12:30, 13:00 - 16:00","8:45 - 12:30, 13:00 - 16:00","8:45 - 12:30, 13:00 - 15:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Free WiFi","","Könyves Kálmán krt. 76-1. sz.  (Józsefvárosi Piac) ","FIOK","null","null","0809","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","Valutaforgalmazás (hétvégén nem elérhető)","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Groupama biztosítások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","1087","Budapest","47.486172","19.101158"
"(1) 3666-388","(1) 393-5377","0201","Forgalmazott valuták: EUR USD ","8:45 - 17:00","8:45 - 16:00","8:45 - 16:00","8:45 - 16:00","8:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Széna tér 7.  ","FIOK","null","null","0201","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Közép- és nagyvállalatok számlavezetése, bankkártyák","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Hallássérültek számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Privátbanki szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Hallássérültek számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","1015","Budapest","47.507325","19.026632"
"(1) 3666-388","(1) 415-2560","1502","","7:45 - 17:00","7:45 - 15:00","7:45 - 15:00","7:45 - 15:00","7:45 - 13:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Zsókavár utca 28.  ","FIOK","null","null","1502","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","","1157","Budapest","47.54167","19.143101"
"(1) 473-5000 ","(1) 311-8281","0508","","7:45 - 17:00","7:45 - 15:00","7:45 - 15:00","7:45 - 15:00","7:45 - 15:00","","","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","","Nádor utca 16.  ","FIOK","null","null","0508","Kisvállalkozások forint számlavezetése, bankkártyák","Közép- és nagyvállalatok számlavezetése, bankkártyák","Értékpapír szolgáltatások","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Értékpapír szolgáltatások","Groupama biztosítások","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","1051","Budapest","47.501399","19.049149"
"(1) 3666-388","(40) 366-388, (1) 3666-389","0711","Forgalmazott valuták: EUR HRK USD ","8:45 - 18:00","8:45 - 18:00","8:45 - 18:00","8:45 - 18:00","8:45 - 17:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Károly krt. 25.  (A pénztárak a fiókzárás előtt két órával korábban zárnak)","FIOK","null","null","0711","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","Társasházi és lakásszövetkezeti szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Hallássérültek számára - Ajánlott","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","1075","Budapest","47.497597","19.055755"
"(1) 3666-388","(1) 401-4819","1600","Forgalmazott valuták: EUR HRK USD ","7:45 - 18:00","7:45 - 17:00","7:45 - 17:00","7:45 - 17:00","7:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Jókai utca 3/b.  ","FIOK","null","null","1600","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","Közép- és nagyvállalatok számlavezetése, bankkártyák","Társasházi és lakásszövetkezeti szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Privátbanki szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","1163","Budapest","47.510328","19.190593"
"(1) 3666-388","(1) 486-4690","1800","Forgalmazott valuták: EUR USD ","7:45 - 18:00","7:45 - 17:00","7:45 - 17:00","7:45 - 18:00","7:45 - 15:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Üllői út 377.  ","FIOK","null","null","1800","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","Közép- és nagyvállalatok számlavezetése, bankkártyák","Társasházi és lakásszövetkezeti szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Vámpénztári szolgáltatás","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Privátbanki szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","1181","Budapest","47.446873","19.169724"
"(1) 3666-388","(1) 433-3190","1000","Forgalmazott valuták: EUR USD ","7:45 - 18:00","7:45 - 17:00","7:45 - 17:00","7:45 - 17:00","7:45 - 16:00","","","Akadálymentes bankfiók","Speciálisan nyitva tartó fiók","Gyermekbarát bankfiók","Free WiFi","Kőrösi Csoma sétány 6.  ","FIOK","null","null","1000","Kisvállalkozások forint számlavezetése, bankkártyák","Kisvállalkozások deviza számlavezetése, bankkártyák","Kisvállalkozások finanszírozása","Társasházi és lakásszövetkezeti szolgáltatások","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Vámpénztári szolgáltatás","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Devizaszámla kezelés, -bankkártyák,  -megtakarítások","Prémium szolgáltatások","Nyugdíjelőtakarékossági számla","Gyámi számlák, betétek","Szabad felhasználású jelzáloghitel","Lakáshitelek","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Valutaforgalmazás (hétvégén nem elérhető)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","1102","Budapest","47.483864","19.12958"
"(1) 3666-388","(1) 323-3907","0904","Forgalmazott valuták: EUR USD ","7:45 - 17:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","7:45 - 16:00","","","Akadálymentes bankfiók","Gyermekbarát bankfiók","Free WiFi","","József krt. 80.  ","FIOK","null","null","0904","Értékpapír szolgáltatások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","","","","Forint számlavezetés (folyószámla, bankkártyák, betétek, megtakarítások)","Nyugdíjelőtakarékossági számla","Fogyasztási hitelek (személyi kölcsön, hitelkártya, folyószámlahitel, lombard hitel)","Értékpapír szolgáltatások","Groupama biztosítások","Mozgáskorlátozottak számára - Ajánlott","Látássérültek számára - Ajánlott, vakvezető sáv is rendelkezésre áll","","","","","","","","","","1085","Budapest","47.486675","19.07034"
